model,MAE_USD,RMSE_USD,R2
HistGradientBoosting,1173.2797610379532,2576.075059899178,0.9011264401669349
RandomForest,1111.5758533950388,2939.317303505566,0.8712770194282617
Ridge,2118.839855022402,4166.663684413486,0.7413335876597412
